queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,unix_time
mutex,throughput,4,4,1,1024,cons-bg,2.00,1000000,1,16531353,2.0052,8.244,0.0,0,0,0,0,0.0028,124871625,1783189783
moody,throughput,4,4,1,1024,cons-bg,2.00,1000000,1,3492461,2.0052,1.742,0.0,0,0,0,0,0.1919,124446750,1783189786
ms,latency,1,1,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,37483.8,167,659667,8124708,10007375,0.0000,118512250,1783189788
vyukov,latency,1,1,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,6330.6,125,3417,2524125,4476375,0.0000,123553625,1783189791
faa,latency,1,1,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,541544.8,84,18653459,31448625,32702167,0.0000,117363875,1783189793
mutex,latency,1,1,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,1766.9,209,12084,281750,1167917,0.0000,121923916,1783189796
moody,latency,1,1,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,30523.3,167,38667,8136709,10005750,0.0000,126090583,1783189798
spsc,latency,1,1,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,218025.4,167,7477209,13081125,15024792,0.0000,125448959,1783189801
ms,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,166034.5,584,3922917,7230875,13921042,0.0000,124810958,1783189803
vyukov,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,426076.8,542,9641042,25373084,28081209,0.0000,126969209,1783189806
faa,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,427712.6,333,8330792,11539792,13839833,0.0000,127217125,1783189808
mutex,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,71715.5,1958,1964000,4633208,8632458,0.0000,123271166,1783189811
moody,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,95895.0,584,2649375,8315500,10220834,0.0000,126041541,1783189813
ms,latency,4,4,4,1024,none,2.00,1000000,1,2000000,2.0000,1.000,12975470.9,8493917,69067333,102542917,127178167,0.0000,120633042,1783189816
